city,cases,deaths,codigo_ibge,latitude,longitude,date,day,case_day,death_day,%var_case_day,%var_death_day,avg7_cases,avg7_deaths,perc_death,avg7_perc_death
aruja,1.0,0.0,3503901.0,-23.3965,-46.32,2020-03-26,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
barueri,3.0,0.0,3505708.0,-23.5057,-46.879,2020-03-26,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0
caieiras,2.0,0.0,3509007.0,-23.3607,-46.7397,2020-03-26,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0
campinas,4.0,0.0,3509502.0,-22.9053,-47.0659,2020-03-26,1,4,0,0.0,0.0,0.0,0.0,0.0,0.0
carapicuiba,2.0,0.0,3510609.0,-23.5235,-46.8407,2020-03-26,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0
cotia,5.0,0.0,3513009.0,-23.6022,-46.919,2020-03-26,1,5,0,0.0,0.0,0.0,0.0,0.0,0.0
embu das artes,1.0,0.0,3515004.0,-23.6437,-46.8579,2020-03-26,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
guarulhos,9.0,1.0,3518800.0,-23.4538,-46.5333,2020-03-26,1,9,1,0.0,0.0,0.0,0.0,11.11,0.0
hortolandia,1.0,0.0,3519071.0,-22.8529,-47.2143,2020-03-26,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
iracemapolis,1.0,0.0,3521408.0,-22.5832,-47.523,2020-03-26,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
jaguariuna,1.0,0.0,3524709.0,-22.7037,-46.9851,2020-03-26,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
jundiai,2.0,0.0,3525904.0,-23.1852,-46.8974,2020-03-26,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0
louveira,2.0,0.0,3527306.0,-23.0856,-46.9484,2020-03-26,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0
mairipora,1.0,0.0,3528502.0,-23.3171,-46.5897,2020-03-26,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
maua,2.0,0.0,3529401.0,-23.6677,-46.4613,2020-03-26,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0
mogi das cruzes,7.0,0.0,3530607.0,-23.5208,-46.1854,2020-03-26,1,7,0,0.0,0.0,0.0,0.0,0.0,0.0
osasco,3.0,0.0,3534401.0,-23.5324,-46.7916,2020-03-26,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0
poa,1.0,0.0,3539806.0,-23.5333,-46.3473,2020-03-26,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
ribeirao preto,1.0,1.0,3543402.0,-21.1699,-47.8099,2020-03-26,1,1,1,0.0,0.0,0.0,0.0,100.0,0.0
ribeirao pires,1.0,0.0,3543303.0,-23.7067,-46.4058,2020-03-26,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
rio claro,1.0,0.0,3543907.0,-22.3984,-47.5546,2020-03-26,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
santana de parnaiba,6.0,0.0,3547304.0,-23.4439,-46.9178,2020-03-26,1,6,0,0.0,0.0,0.0,0.0,0.0,0.0
santo andre,16.0,0.0,3547809.0,-23.6737,-46.5432,2020-03-26,1,16,0,0.0,0.0,0.0,0.0,0.0,0.0
sao bernardo do campo,13.0,0.0,3548708.0,-23.6914,-46.5646,2020-03-26,1,13,0,0.0,0.0,0.0,0.0,0.0,0.0
sao caetano do sul,17.0,0.0,3548807.0,-23.6229,-46.5548,2020-03-26,1,17,0,0.0,0.0,0.0,0.0,0.0,0.0
sao jose do rio preto,1.0,0.0,3549805.0,-20.8113,-49.3758,2020-03-26,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
sao jose dos campos,2.0,0.0,3549904.0,-23.1896,-45.8841,2020-03-26,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0
sao paulo,899.0,54.0,3550308.0,-23.5329,-46.6395,2020-03-26,1,899,54,0.0,0.0,0.0,0.0,6.01,0.0
sao sebastiao,2.0,0.0,3550704.0,-23.7951,-45.4143,2020-03-26,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0
suzano,2.0,0.0,3552502.0,-23.5448,-46.3112,2020-03-26,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0
taboao da serra,2.0,1.0,3552809.0,-23.6019,-46.7526,2020-03-26,1,2,1,0.0,0.0,0.0,0.0,50.0,0.0
taubate,1.0,0.0,3554102.0,-23.0104,-45.5593,2020-03-26,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
tatui,1.0,0.0,3554003.0,-23.3487,-47.8461,2020-03-26,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
valinhos,1.0,0.0,3556206.0,-22.9698,-46.9974,2020-03-26,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
vargem grande paulista,1.0,1.0,3556453.0,-23.5993,-47.022,2020-03-26,1,1,1,0.0,0.0,0.0,0.0,100.0,0.0
0,8.0,0.0,0.0,0.0,0.0,2020-03-26,1,8,0,0.0,0.0,0.0,0.0,0.0,0.0
0,28.0,0.0,0.0,0.0,0.0,2020-03-26,2,20,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1.0,0.0,0.0,0.0,0.0,2020-03-26,3,-27,0,-235.0,0.0,0.0,0.0,0.0,0.0
aruja,1.0,0.0,3503901.0,-23.3965,-46.32,2020-03-27,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
barueri,3.0,0.0,3505708.0,-23.5057,-46.879,2020-03-27,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
caieiras,2.0,0.0,3509007.0,-23.3607,-46.7397,2020-03-27,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
campinas,5.0,0.0,3509502.0,-22.9053,-47.0659,2020-03-27,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0
carapicuiba,2.0,0.0,3510609.0,-23.5235,-46.8407,2020-03-27,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
cotia,6.0,0.0,3513009.0,-23.6022,-46.919,2020-03-27,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0
embu das artes,1.0,0.0,3515004.0,-23.6437,-46.8579,2020-03-27,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
diadema,1.0,0.0,3513801.0,-23.6813,-46.6205,2020-03-27,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
ferraz de vasconcelos,2.0,0.0,3515707.0,-23.5411,-46.371,2020-03-27,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0
guarulhos,13.0,2.0,3518800.0,-23.4538,-46.5333,2020-03-27,2,4,1,0.0,0.0,0.0,0.0,15.38,0.0
hortolandia,1.0,0.0,3519071.0,-22.8529,-47.2143,2020-03-27,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
iracemapolis,1.0,0.0,3521408.0,-22.5832,-47.523,2020-03-27,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
jaguariuna,1.0,0.0,3524709.0,-22.7037,-46.9851,2020-03-27,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
jundiai,3.0,0.0,3525904.0,-23.1852,-46.8974,2020-03-27,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0
louveira,1.0,0.0,3527306.0,-23.0856,-46.9484,2020-03-27,2,-1,0,0.0,0.0,0.0,0.0,0.0,0.0
mairipora,2.0,0.0,3528502.0,-23.3171,-46.5897,2020-03-27,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0
maua,2.0,0.0,3529401.0,-23.6677,-46.4613,2020-03-27,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mogi das cruzes,8.0,0.0,3530607.0,-23.5208,-46.1854,2020-03-27,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0
osasco,4.0,0.0,3534401.0,-23.5324,-46.7916,2020-03-27,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0
poa,1.0,0.0,3539806.0,-23.5333,-46.3473,2020-03-27,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ribeirao pires,1.0,0.0,3543303.0,-23.7067,-46.4058,2020-03-27,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ribeirao preto,3.0,1.0,3543402.0,-21.1699,-47.8099,2020-03-27,2,2,0,0.0,0.0,0.0,0.0,33.33,0.0
rio claro,1.0,0.0,3543907.0,-22.3984,-47.5546,2020-03-27,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
santana de parnaiba,6.0,0.0,3547304.0,-23.4439,-46.9178,2020-03-27,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
santo andre,17.0,0.0,3547809.0,-23.6737,-46.5432,2020-03-27,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0
sao bernardo do campo,15.0,0.0,3548708.0,-23.6914,-46.5646,2020-03-27,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0
sao caetano do sul,16.0,0.0,3548807.0,-23.6229,-46.5548,2020-03-27,2,-1,0,0.0,0.0,0.0,0.0,0.0,0.0
sao jose do rio preto,1.0,0.0,3549805.0,-20.8113,-49.3758,2020-03-27,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
sao jose dos campos,4.0,0.0,3549904.0,-23.1896,-45.8841,2020-03-27,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0
sao paulo,1044.0,63.0,3550308.0,-23.5329,-46.6395,2020-03-27,2,145,9,0.0,0.0,0.0,0.0,6.03,0.0
sao sebastiao,2.0,0.0,3550704.0,-23.7951,-45.4143,2020-03-27,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
sorocaba,1.0,0.0,3552205.0,-23.4969,-47.4451,2020-03-27,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
suzano,1.0,0.0,3552502.0,-23.5448,-46.3112,2020-03-27,2,-1,0,0.0,0.0,0.0,0.0,0.0,0.0
taboao da serra,2.0,1.0,3552809.0,-23.6019,-46.7526,2020-03-27,2,0,0,0.0,0.0,0.0,0.0,50.0,0.0
tatui,1.0,0.0,3554003.0,-23.3487,-47.8461,2020-03-27,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
taubate,1.0,0.0,3554102.0,-23.0104,-45.5593,2020-03-27,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
valinhos,1.0,0.0,3556206.0,-22.9698,-46.9974,2020-03-27,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
vargem grande paulista,2.0,1.0,3556453.0,-23.5993,-47.022,2020-03-27,2,1,0,0.0,0.0,0.0,0.0,50.0,0.0
0,3.0,0.0,0.0,0.0,0.0,2020-03-27,4,2,0,-107.41,0.0,0.0,0.0,0.0,0.0
0,27.0,0.0,0.0,0.0,0.0,2020-03-27,5,24,0,1100.0,0.0,0.0,0.0,0.0,0.0
0,14.0,0.0,0.0,0.0,0.0,2020-03-27,6,-13,0,-154.17,0.0,0.0,0.0,0.0,0.0
aruja,1.0,0.0,3503901.0,-23.3965,-46.32,2020-03-28,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0
barueri,5.0,0.0,3505708.0,-23.5057,-46.879,2020-03-28,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0
caieiras,2.0,0.0,3509007.0,-23.3607,-46.7397,2020-03-28,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0
cajamar,1.0,0.0,3509205.0,-23.355,-46.8781,2020-03-28,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
campinas,8.0,0.0,3509502.0,-22.9053,-47.0659,2020-03-28,3,3,0,200.0,0.0,0.0,0.0,0.0,0.0
carapicuiba,2.0,0.0,3510609.0,-23.5235,-46.8407,2020-03-28,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0
cotia,6.0,0.0,3513009.0,-23.6022,-46.919,2020-03-28,3,0,0,-100.0,0.0,0.0,0.0,0.0,0.0
diadema,2.0,0.0,3513801.0,-23.6813,-46.6205,2020-03-28,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0
embu das artes,3.0,1.0,3515004.0,-23.6437,-46.8579,2020-03-28,3,2,1,0.0,0.0,0.0,0.0,33.33,0.0
